Symbol,Name,MktVal Co,DPS 25,DPS 24,DPS 23,DPS 22,DPS 21,DPS 20,DPS 19,DPS 18,DPS 17,DPS 16,DPS 15,DPS 14,DPS 13,DPS 12,DPS 11,DPS 10
CLOV,Clover Health Investments Corp. Class A,"1,496.2",0.00,0.00,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLPT,"ClearPoint Neuro, Inc.",311.8,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A
CLSK,"Cleanspark, Inc.","3,590.5",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A
CLVT,Clarivate PLC,"2,889.5",0.00,0.00,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLW,Clearwater Paper Corporation,455.3,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLX,Clorox Company,"15,822.0",4.82,4.74,4.7,4.5,4.3,3.9,3.6,3.2,3.1,3.0,2.9,2.6,2.4,2.3,2.1,1.9
CLYM,"Climb Bio, Inc.",102.0,0.00,0.00,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CMA,Comerica Incorporated,"8,583.9",2.84,2.84,2.7,2.7,2.7,2.7,1.8,1.1,0.9,0.8,0.8,0.7,0.6,0.4,0.3,0.2
CMC,Commercial Metals Company,"5,896.5",0.68,0.64,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CMCL,Caledonia Mining Corporation PLC,392.1,0.56,0.56,0.6,0.5,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0
CMCO,Columbus McKinnon Corporation,437.5,0.28,0.28,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
CMCSA,Comcast Corporation Class A,"128,962.1",1.24,1.16,1.1,1.0,0.9,0.8,0.8,0.6,0.6,0.5,0.5,0.4,0.3,0.2,0.2,0.1
CME,CME Group Inc. Class A,"98,990.7",10.40,9.65,8.5,6.9,5.9,5.5,4.6,6.1,5.7,4.9,3.9,4.4,3.1,1.1,0.9,0.9
CMG,"Chipotle Mexican Grill, Inc.","72,663.3",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,Cummins Inc.,"48,269.3",7.00,6.50,6.0,5.6,5.3,4.9,4.4,4.2,4.0,3.5,2.8,2.3,1.8,1.3,0.9,0.7
CMPR,Cimpress Plc,"1,110.8",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMPX,"Compass Therapeutics, Inc.",414.8,0.00,0.00,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CMRE,Costamare Inc.,"1,151.6",0.46,0.46,0.5,0.4,0.4,0.4,0.4,0.4,1.0,1.2,1.1,1.1,1.1,1.0,0.0,#N/A
CMS,CMS Energy Corporation,"21,513.0",2.06,1.95,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.2,1.1,1.0,1.0,0.8,0.7,0.5
CMT,"Core Molding Technologies, Inc.",151.5,0.00,0.00,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMTV,Community Bancorp.,114.3,0.94,0.92,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5
CNA,CNA Financial Corporation,"11,975.0",1.76,1.68,1.6,1.5,1.5,1.4,1.3,1.1,1.0,1.0,1.0,0.8,0.6,0.4,0.0,0.0
